,Unnamed: 0,Year,tourney_id,tourney_name,Hard,Clay,Carpet,Grass,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Target
45,45,2006,2006-341,Metz,0.0,0.0,0.0,1.0,32,A,20061002,31,104925,Novak Djokovic,1.0,188.0,SRB,19.3,103781,Jurgen Melzer,1.0,183.0,AUT,25.3,4-6 6-3 6-2,3,F,111.0,10.0,1.0,88.0,58.0,41.0,16.0,14.0,7.0,9.0,2.0,5.0,90.0,45.0,31.0,20.0,13.0,7.0,11.0,22.0,1183.0,48.0,755.0,True
46,46,2006,2006-352,Paris Masters,1.0,0.0,0.0,0.0,48,M,20061030,19,103908,Paul Henri Mathieu,1.0,185.0,FRA,24.7,104925,Novak Djokovic,0.0,188.0,SRB,19.4,7-6(11) 7-6(4),3,R32,161.0,13.0,3.0,110.0,55.0,43.0,26.0,12.0,9.0,12.0,6.0,0.0,87.0,49.0,36.0,18.0,12.0,4.0,7.0,54.0,723.0,16.0,1465.0,False
47,47,2006,2006-403,Miami Masters,0.0,0.0,0.0,1.0,96,M,20060320,16,104925,Novak Djokovic,1.0,188.0,SRB,18.8,103908,Paul Henri Mathieu,0.0,185.0,FRA,24.1,6-1 6-3,3,R128,57.0,8.0,1.0,36.0,26.0,26.0,6.0,8.0,0.0,0.0,3.0,2.0,50.0,30.0,18.0,8.0,8.0,3.0,7.0,66.0,596.0,37.0,853.0,True
48,48,2006,2006-403,Miami Masters,0.0,0.0,0.0,1.0,96,M,20060320,48,103909,Guillermo Coria,1.0,175.0,ARG,24.1,104925,Novak Djokovic,0.0,188.0,SRB,18.8,7-5 6-1,3,R64,88.0,1.0,0.0,52.0,39.0,24.0,10.0,9.0,0.0,2.0,2.0,6.0,82.0,43.0,24.0,15.0,10.0,12.0,18.0,7.0,2025.0,66.0,596.0,False
49,49,2006,2006-404,Indian Wells Masters,0.0,0.0,0.0,1.0,96,M,20060306,10,103898,Julien Benneteau,1.0,185.0,FRA,24.2,104925,Novak Djokovic,0.0,188.0,SRB,18.7,6-3 6-4,3,R128,93.0,2.0,1.0,56.0,40.0,30.0,6.0,9.0,2.0,4.0,1.0,2.0,75.0,42.0,25.0,14.0,10.0,7.0,12.0,88.0,459.0,67.0,591.0,False
50,50,2006,2006-407,Rotterdam,0.0,0.0,0.0,1.0,32,A,20060220,11,104925,Novak Djokovic,1.0,188.0,SRB,18.7,104312,Andreas Seppi,0.0,190.0,ITA,21.9,6-2 2-6 7-5,3,R32,111.0,5.0,2.0,83.0,45.0,30.0,18.0,14.0,1.0,6.0,7.0,5.0,85.0,39.0,29.0,19.0,14.0,4.0,10.0,72.0,548.0,53.0,710.0,True
51,51,2006,2006-407,Rotterdam,0.0,0.0,0.0,1.0,32,A,20060220,22,104925,Novak Djokovic,1.0,188.0,SRB,18.7,102450,Tim Henman,0.0,185.0,GBR,31.4,5-7 6-3 6-4,3,R16,160.0,5.0,4.0,123.0,76.0,55.0,24.0,16.0,8.0,9.0,2.0,2.0,101.0,70.0,48.0,17.0,15.0,11.0,13.0,72.0,548.0,40.0,815.0,True
52,52,2006,2006-407,Rotterdam,0.0,0.0,0.0,1.0,32,A,20060220,27,103285,Radek Stepanek,1.0,185.0,CZE,27.2,104925,Novak Djokovic,0.0,188.0,SRB,18.7,7-5 4-6 7-6(2),3,QF,140.0,20.0,6.0,95.0,64.0,51.0,17.0,17.0,3.0,5.0,3.0,3.0,107.0,74.0,51.0,20.0,17.0,2.0,4.0,23.0,1355.0,72.0,548.0,False
53,53,2006,2006-410,Monte Carlo Masters,0.0,1.0,0.0,0.0,64,M,20060417,1,103819,Roger Federer,1.0,185.0,SUI,24.6,104925,Novak Djokovic,0.0,188.0,SRB,18.9,6-3 2-6 6-3,3,R64,109.0,1.0,0.0,73.0,39.0,28.0,21.0,13.0,0.0,2.0,1.0,4.0,94.0,61.0,36.0,19.0,13.0,8.0,11.0,1.0,6810.0,67.0,606.0,False
54,54,2006,2006-414,Hamburg Masters,0.0,1.0,0.0,0.0,64,M,20060515,20,104925,Novak Djokovic,1.0,188.0,SRB,18.9,103909,Guillermo Coria,0.0,175.0,ARG,24.3,6-3 3-6 6-3,3,R64,138.0,0.0,1.0,93.0,64.0,35.0,19.0,14.0,9.0,13.0,0.0,10.0,84.0,53.0,34.0,12.0,13.0,9.0,14.0,71.0,577.0,21.0,1345.0,True
