,date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry,Unnamed: 0,OpponentId
123,10/31/05,Paris Masters,M,3,P,True,R16,TOMMY ROBREDO,14.0,Spain,ESP,21,5.0,2040,Novak Djokovic,Serbia,SRB,85.0,-7.0,1868,6-4 6-3,,Q,82.0,,,96,r419
124,8/4/14,Canada Masters,M,3,H,False,R16,JO WILFRIED TSONGA,13.0,France,FRA,15,17.0,2165,Novak Djokovic,Serbia,SRB,1.0,-18.0,2553,6-2 6-2,1.0,,73.0,,,117,T786
125,11/7/11,Paris Masters,M,3,H,True,QF,JO WILFRIED TSONGA,6.0,France,FRA,8,9.0,2193,Novak Djokovic,Serbia,SRB,1.0,-9.0,2490,W/O,1.0,,60.0,W/O,,117,T786
126,1/18/10,Australian Open,G,5,H,False,QF,JO WILFRIED TSONGA,10.0,France,FRA,10,21.0,2155,Novak Djokovic,Serbia,SRB,3.0,-21.0,2367,7-6(8) 6-7(5) 1-6 6-3 6-1,3.0,,52.0,,,117,T786
127,2/16/09,Marseille,B,3,H,True,SF,JO WILFRIED TSONGA,4.0,France,FRA,12,12.0,2149,Novak Djokovic,Serbia,SRB,3.0,-11.0,2254,6-4 7-6(1),1.0,,77.0,,,117,T786
128,11/9/08,Masters Cup,F,3,H,True,RR,JO WILFRIED TSONGA,,France,FRA,7,16.0,2119,Novak Djokovic,Serbia,SRB,3.0,-16.0,2277,1-6 7-5 6-1,,,70.0,,,117,T786
129,10/26/08,Paris Masters,M,3,H,True,R16,JO WILFRIED TSONGA,13.0,France,FRA,14,16.0,2064,Novak Djokovic,Serbia,SRB,3.0,-16.0,2279,6-4 1-6 6-3,3.0,,78.0,,,117,T786
130,9/22/08,Bangkok,B,3,H,True,F,JO WILFRIED TSONGA,2.0,France,FRA,20,17.0,2039,Novak Djokovic,Serbia,SRB,3.0,-17.0,2306,7-6(4) 6-4,1.0,,68.0,,,117,T786
131,8/11/13,Cincinnati Masters,M,3,H,False,QF,JOHN ISNER,,United States,USA,22,20.0,2065,Novak Djokovic,Serbia,SRB,1.0,-19.0,2471,7-6(5) 3-6 7-5,1.0,,69.0,,,59,i186
132,3/8/12,Indian Wells Masters,M,3,H,False,SF,JOHN ISNER,11.0,United States,USA,11,20.0,2113,Novak Djokovic,Serbia,SRB,1.0,-19.0,2474,7-6(7) 3-6 7-6(5),1.0,,47.0,,,59,i186
