date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_seed,loser_entry,speed,outcome,winner_entry
8/31/09,US Open,G,5,H,FALSE,R128,Novak Djokovic,4,Serbia,SRB,4,3,2281,Ivan Ljubicic,Croatia,CRO,51,-4,1977,6-3 6-1 6-3,,,56,,
8/16/09,Cincinnati Masters,M,3,H,FALSE,F,Roger Federer,1,Switzerland,SUI,1,7,2428,Novak Djokovic,Serbia,SRB,4,-7,2288,6-1 7-5,4,,85,,
8/16/09,Cincinnati Masters,M,3,H,FALSE,SF,Novak Djokovic,4,Serbia,SRB,4,16,2272,Rafael Nadal,Spain,ESP,3,-16,2441,6-1 6-4,2,,85,,
8/16/09,Cincinnati Masters,M,3,H,FALSE,QF,Novak Djokovic,4,Serbia,SRB,4,4,2268,Gilles Simon,France,FRA,9,-4,2025,6-4 7-5,9,,85,,
8/16/09,Cincinnati Masters,M,3,H,FALSE,R16,Novak Djokovic,4,Serbia,SRB,4,3,2265,Jeremy Chardy,France,FRA,35,-4,1998,7-5 6-3,,,85,,
8/16/09,Cincinnati Masters,M,3,H,FALSE,R32,Novak Djokovic,4,Serbia,SRB,4,4,2261,Ivan Ljubicic,Croatia,CRO,54,-4,1993,7-6(5) 6-4,,Q,85,,
8/10/09,Canada Masters,M,3,H,FALSE,QF,Andy Roddick,5,United States,USA,5,10,2270,Novak Djokovic,Serbia,SRB,4,-11,2272,6-4 7-6(4),4,,73,,
8/10/09,Canada Masters,M,3,H,FALSE,R16,Novak Djokovic,4,Serbia,SRB,4,3,2269,Mikhail Youzhny,Russian Federation,RUS,65,-3,1962,6-3 6-4,,,73,,
8/10/09,Canada Masters,M,3,H,FALSE,R32,Novak Djokovic,4,Serbia,SRB,4,1,2268,Peter Polansky,Canada,CAN,225,-2,1692,6-4 7-6(6),,WC,73,,
6/22/09,Wimbledon,G,5,G,FALSE,QF,Tommy Haas,24,Germany,GER,34,20,2110,Novak Djokovic,Serbia,SRB,4,-20,2288,7-5 7-6(6) 4-6 6-3,4,,83,,
6/22/09,Wimbledon,G,5,G,FALSE,R16,Novak Djokovic,4,Serbia,SRB,4,3,2285,Dudi Sela,Israel,ISR,46,-4,1944,6-2 6-4 6-1,,,83,,
6/22/09,Wimbledon,G,5,G,FALSE,R32,Novak Djokovic,4,Serbia,SRB,4,4,2281,Mardy Fish,United States,USA,25,-5,2009,6-4 6-4 6-4,28,,83,,
6/22/09,Wimbledon,G,5,G,FALSE,R64,Novak Djokovic,4,Serbia,SRB,4,1,2280,Simon Greul,Germany,GER,106,-2,1718,7-5 6-1 6-4,,Q,83,,
6/22/09,Wimbledon,G,5,G,FALSE,R128,Novak Djokovic,4,Serbia,SRB,4,3,2277,Julien Benneteau,France,FRA,81,-3,1913,6-7(8) 7-6(1) 6-2 6-4,,,83,,
6/8/09,Halle,B,3,G,FALSE,F,Tommy Haas,,Germany,GER,41,17,2061,Novak Djokovic,Serbia,SRB,4,-16,2293,6-3 6-7(4) 6-1,2,,66,,WC
6/8/09,Halle,B,3,G,FALSE,SF,Novak Djokovic,2,Serbia,SRB,4,1,2292,Olivier Rochus,Belgium,BEL,136,-1,1848,7-6(7) 6-4,,Q,66,,
6/8/09,Halle,B,3,G,FALSE,QF,Novak Djokovic,2,Serbia,SRB,4,2,2290,Jurgen Melzer,Austria,AUT,28,-2,1955,6-1 6-4,7,,66,,
6/8/09,Halle,B,3,G,FALSE,R16,Novak Djokovic,2,Serbia,SRB,4,2,2288,Florent Serra,France,FRA,56,-2,1902,5-7 7-5 6-1,,,66,,
6/8/09,Halle,B,3,G,FALSE,R32,Novak Djokovic,2,Serbia,SRB,4,1,2287,Simone Bolelli,Italy,ITA,66,-2,1905,7-5 6-2,,,66,,
5/25/09,Roland Garros,G,5,C,FALSE,R32,Philipp Kohlschreiber,29,Germany,GER,31,22,2048,Novak Djokovic,Serbia,SRB,4,-21,2308,6-4 6-4 6-4,4,,51,,
5/25/09,Roland Garros,G,5,C,FALSE,R64,Novak Djokovic,4,Serbia,SRB,4,2,2306,Sergiy Stakhovsky,Ukraine,UKR,110,-3,1829,6-3 6-4 6-1,,Q,51,,
5/25/09,Roland Garros,G,5,C,FALSE,R128,Novak Djokovic,4,Serbia,SRB,4,2,2304,Nicolas Lapentti,Ecuador,ECU,102,-2,1896,6-3 3-1 RET,,,51,RET,
5/10/09,Madrid Masters,M,3,C,FALSE,SF,Rafael Nadal,1,Spain,ESP,1,6,2481,Novak Djokovic,Serbia,SRB,4,-6,2310,3-6 7-6(5) 7-6(9),3,,56,,
5/10/09,Madrid Masters,M,3,C,FALSE,QF,Novak Djokovic,3,Serbia,SRB,4,3,2307,Ivan Ljubicic,Croatia,CRO,54,-4,2006,6-4 6-4,,WC,56,,
5/10/09,Madrid Masters,M,3,C,FALSE,R16,Novak Djokovic,3,Serbia,SRB,4,2,2305,Andreas Seppi,Italy,ITA,36,-3,1948,6-4 6-4,,,56,,
5/10/09,Madrid Masters,M,3,C,FALSE,R32,Novak Djokovic,3,Serbia,SRB,4,2,2303,Oscar Hernandez,Spain,ESP,65,-1,1834,6-3 6-3,,WC,56,,
5/4/09,Belgrade,B,3,C,FALSE,F,Novak Djokovic,1,Serbia,SRB,3,1,2302,Lukasz Kubot,Poland,POL,179,-2,1809,6-3 7-6(0),,LL,29,,
5/4/09,Belgrade,B,3,C,FALSE,SF,Novak Djokovic,1,Serbia,SRB,3,2,2300,Andreas Seppi,Italy,ITA,36,-3,1932,4-6 6-1 6-2,4,,29,,
5/4/09,Belgrade,B,3,C,FALSE,QF,Novak Djokovic,1,Serbia,SRB,3,2,2298,Viktor Troicki,Serbia,SRB,38,-3,1963,6-3 6-2,5,,29,,
5/4/09,Belgrade,B,3,C,FALSE,R16,Novak Djokovic,1,Serbia,SRB,3,2,2296,Janko Tipsarevic,Serbia,SRB,63,-2,1941,6-2 4-6 6-0,,,29,,
4/27/09,Rome Masters,M,3,C,FALSE,F,Rafael Nadal,1,Spain,ESP,1,7,2470,Novak Djokovic,Serbia,SRB,3,-7,2303,7-6(2) 6-2,3,,33,,
4/27/09,Rome Masters,M,3,C,FALSE,SF,Novak Djokovic,3,Serbia,SRB,3,13,2290,Roger Federer,Switzerland,SUI,2,-13,2351,4-6 6-3 6-3,2,,33,,
4/27/09,Rome Masters,M,3,C,FALSE,QF,Novak Djokovic,3,Serbia,SRB,3,7,2283,Juan Martin Del Potro,Argentina,ARG,5,-7,2165,6-3 6-4,5,,33,,
