Hard,Clay,Carpet,Grass,best_of,minutes,opponent_name,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_SvGms,opp_bpSaved,opp_bpFaced,DJOK,djok_hand,djok_ht,djok_age,djok_ace,djok_df,djok_svpt,djok_1stIn,djok_1stWon,djok_2ndWon,djok_SvGms,djok_bpSaved,djok_bpFaced,Target
0.0,1.0,0.0,0.0,0.0,113.0,Julien Benneteau,0.0,185.0,25.3,3.0,3.0,77.0,46.0,28.0,17.0,11.0,3.0,6.0,Novak Djokovic,1.0,188.0,19.9,9.0,1.0,63.0,44.0,32.0,13.0,10.0,3.0,4.0,True
0.0,1.0,0.0,0.0,0.0,158.0,Jarkko Nieminen,1.0,185.0,25.8,3.0,0.0,101.0,68.0,45.0,13.0,16.0,4.0,11.0,Novak Djokovic,1.0,188.0,19.9,2.0,0.0,123.0,79.0,44.0,22.0,16.0,14.0,20.0,True
0.0,1.0,0.0,0.0,0.0,132.0,Robin Soderling,0.0,193.0,22.7,4.0,1.0,83.0,55.0,35.0,12.0,14.0,1.0,6.0,Novak Djokovic,1.0,188.0,19.9,4.0,3.0,90.0,56.0,38.0,16.0,14.0,9.0,13.0,True
0.0,1.0,0.0,0.0,0.0,95.0,Marcos Baghdatis,0.0,183.0,21.8,4.0,2.0,65.0,27.0,17.0,14.0,10.0,4.0,10.0,Novak Djokovic,1.0,188.0,19.9,4.0,1.0,63.0,35.0,20.0,16.0,10.0,2.0,5.0,True
0.0,0.0,0.0,1.0,0.0,84.0,Nicolas Kiefer,0.0,183.0,30.0,4.0,3.0,54.0,36.0,25.0,7.0,9.0,2.0,5.0,Novak Djokovic,1.0,188.0,20.2,5.0,2.0,54.0,41.0,31.0,9.0,9.0,3.0,3.0,True
0.0,0.0,0.0,1.0,0.0,70.0,David Nalbandian,0.0,180.0,25.5,5.0,2.0,56.0,30.0,21.0,11.0,8.0,5.0,8.0,Novak Djokovic,1.0,188.0,20.2,5.0,0.0,44.0,34.0,31.0,6.0,9.0,0.0,0.0,True
0.0,0.0,0.0,1.0,0.0,106.0,Andy Roddick,0.0,188.0,24.9,5.0,1.0,72.0,48.0,34.0,13.0,11.0,4.0,6.0,Novak Djokovic,1.0,188.0,20.2,13.0,5.0,74.0,47.0,38.0,13.0,11.0,2.0,3.0,True
0.0,0.0,0.0,1.0,0.0,111.0,Rafael Nadal,1.0,185.0,21.1,2.0,2.0,61.0,42.0,26.0,11.0,10.0,2.0,4.0,Novak Djokovic,1.0,188.0,20.2,11.0,2.0,71.0,46.0,37.0,15.0,11.0,8.0,8.0,True
0.0,0.0,0.0,1.0,0.0,133.0,Roger Federer,0.0,185.0,25.9,15.0,1.0,102.0,69.0,53.0,14.0,16.0,3.0,6.0,Novak Djokovic,1.0,188.0,20.2,6.0,3.0,96.0,63.0,44.0,19.0,16.0,4.0,9.0,True
0.0,1.0,0.0,0.0,0.0,71.0,Pablo Andujar,0.0,180.0,21.4,0.0,0.0,43.0,30.0,16.0,5.0,8.0,3.0,7.0,Novak Djokovic,1.0,188.0,20.1,3.0,1.0,56.0,38.0,28.0,11.0,8.0,6.0,6.0,True
0.0,1.0,0.0,0.0,0.0,163.0,Igor Andreev,0.0,185.0,23.7,3.0,3.0,102.0,62.0,39.0,25.0,15.0,5.0,8.0,Novak Djokovic,1.0,188.0,19.9,2.0,3.0,99.0,65.0,45.0,22.0,15.0,2.0,4.0,True
