,ref,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,year
74,cf01,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,16.7%,0,0,6,92.0,0.0%,0.0,0.0,0.0,0.0,0.0%,0,0,0,0.0,16.7%,0,0,6,92.0,2013
75,CA12,100.0%,0,2,0,96.0,55.6%,0,2,7,88.0,28.6%,0,0,7,86.0,100.0%,0.0,2.0,0.0,96.0,55.6%,0,2,7,88.0,28.6%,0,0,7,86.0,2013
76,c977,14.3%,0,0,7,83.0,25.0%,0,0,4,81.0,0.0%,0,0,1,73.0,14.3%,0.0,0.0,7.0,83.0,25.0%,0,0,4,81.0,0.0%,0,0,1,73.0,2013
77,CG80,25.0%,0,0,4,100.0,50.0%,0,0,6,88.0,55.6%,0,0,9,87.0,25.0%,0.0,0.0,4.0,100.0,50.0%,0,0,6,88.0,55.6%,0,0,9,87.0,2013
78,da81,0.0%,0,0,0,0.0,20.0%,0,0,5,95.0,33.3%,0,0,3,93.0,0.0%,0.0,0.0,0.0,0.0,20.0%,0,0,5,95.0,33.3%,0,0,3,93.0,2013
79,A0E2,75.0%,1,3,4,123.0,0.0%,0,0,1,112.0,100.0%,2,2,2,129.0,50.0%,0.0,0.0,2.0,105.0,44.4%,0,1,8,90.0,0.0%,0,0,1,89.0,2012
80,A479,50.0%,1,1,6,128.0,0.0%,0,0,0,0.0,75.0%,1,2,5,130.0,100.0%,0.0,1.0,2.0,116.0,40.0%,0,1,4,107.0,100.0%,0,0,1,103.0,2012
81,A678,70.0%,0,3,7,115.0,50.0%,0,1,3,115.0,66.7%,0,3,3,117.0,0.0%,0.0,0.0,0.0,0.0,42.9%,0,2,12,91.0,100.0%,0,0,2,92.0,2012
82,A596,87.5%,2,3,3,120.0,100.0%,0,2,0,116.0,33.3%,0,0,3,101.0,42.9%,0.0,1.0,6.0,114.0,50.0%,0,0,2,92.0,71.4%,0,2,5,90.0,2012
83,AG37,64.5%,2,10,19,122.0,100.0%,0,0,2,111.0,56.2%,1,2,13,114.0,0.0%,0.0,0.0,0.0,0.0,40.7%,0,3,24,94.0,41.7%,0,2,10,94.0,2012
84,B837,66.7%,0,1,5,122.0,50.0%,0,2,4,120.0,25.0%,0,0,4,122.0,25.0%,0.0,1.0,3.0,107.0,25.0%,0,0,4,91.0,66.7%,0,0,3,87.0,2012
85,be67,50.0%,0,1,1,105.0,0.0%,0,0,2,81.0,0.0%,0,0,1,87.0,0.0%,0.0,0.0,2.0,103.0,0.0%,0,0,0,0.0,100.0%,0,1,0,76.0,2012
86,BD06,61.8%,4,5,25,120.0,60.0%,0,1,4,114.0,85.7%,2,5,14,124.0,66.7%,0.0,1.0,2.0,105.0,45.0%,0,3,17,90.0,36.4%,0,0,11,91.0,2012
