,ref,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
66,bd20,57.1%,0,0,7,94.0,50.0%,0,1,1,95.0,0.0%,0,0,1,96.0,57.1%,0.0,0.0,7.0,94.0,50.0%,0,1,1,95.0,0.0%,0,0,1,96.0,2013
67,b747,0.0%,0,0,0,0.0,28.6%,0,0,7,98.0,50.0%,0,1,1,100.0,0.0%,0.0,0.0,0.0,0.0,28.6%,0,0,7,98.0,50.0%,0,1,1,100.0,2013
68,BE90,0.0%,0,0,0,0.0,25.0%,0,0,4,90.0,80.0%,0,2,3,95.0,0.0%,0.0,0.0,0.0,0.0,25.0%,0,0,4,90.0,80.0%,0,2,3,95.0,2013
69,BA47,83.3%,0,3,3,105.0,50.0%,0,0,2,105.0,50.0%,0,1,3,102.0,83.3%,0.0,3.0,3.0,105.0,50.0%,0,0,2,105.0,50.0%,0,1,3,102.0,2013
70,BK40,45.5%,0,1,10,107.0,36.4%,0,3,8,108.0,0.0%,0,0,0,0.0,45.5%,0.0,1.0,10.0,107.0,36.4%,0,3,8,108.0,0.0%,0,0,0,0.0,2013
71,b676,100.0%,0,2,1,92.0,75.0%,0,2,10,92.0,50.0%,0,1,3,95.0,100.0%,0.0,2.0,1.0,92.0,75.0%,0,2,10,92.0,50.0%,0,1,3,95.0,2013
72,CD85,33.3%,0,0,6,88.0,33.3%,0,1,2,90.0,100.0%,0,1,0,96.0,33.3%,0.0,0.0,6.0,88.0,33.3%,0,1,2,90.0,100.0%,0,1,0,96.0,2013
73,CE25,53.8%,0,0,13,94.0,50.0%,0,1,9,89.0,66.7%,0,2,1,99.0,53.8%,0.0,0.0,13.0,94.0,50.0%,0,1,9,89.0,66.7%,0,2,1,99.0,2013
74,cf01,72.7%,0,2,9,95.0,50.0%,0,0,2,97.0,0.0%,0,0,0,0.0,72.7%,0.0,2.0,9.0,95.0,50.0%,0,0,2,97.0,0.0%,0,0,0,0.0,2013
75,CA12,63.6%,0,2,9,88.0,40.0%,0,0,15,87.0,50.0%,0,0,2,98.0,63.6%,0.0,2.0,9.0,88.0,40.0%,0,0,15,87.0,50.0%,0,0,2,98.0,2013
76,c977,40.0%,0,1,4,81.0,33.3%,0,1,5,81.0,100.0%,0,0,1,83.0,40.0%,0.0,1.0,4.0,81.0,33.3%,0,1,5,81.0,100.0%,0,0,1,83.0,2013
77,CG80,50.0%,0,1,9,87.0,0.0%,0,0,1,88.0,33.3%,0,0,3,100.0,50.0%,0.0,1.0,9.0,87.0,0.0%,0,0,1,88.0,33.3%,0,0,3,100.0,2013
78,da81,66.7%,0,0,6,93.0,20.0%,0,1,4,98.0,100.0%,0,0,1,88.0,66.7%,0.0,0.0,6.0,93.0,20.0%,0,1,4,98.0,100.0%,0,0,1,88.0,2013
79,A0E2,50.0%,0,2,4,128.0,50.0%,0,0,2,119.0,50.0%,0,1,5,112.0,50.0%,0.0,0.0,12.0,100.0,40.0%,0,0,5,92.0,0.0%,0,0,0,0.0,2012
80,A479,80.0%,0,2,3,134.0,0.0%,0,0,0,0.0,55.6%,4,1,4,121.0,68.8%,0.0,3.0,13.0,94.0,33.3%,0,0,3,111.0,100.0%,1,0,0,112.0,2012
81,A678,62.5%,1,3,4,113.0,62.5%,0,2,6,114.0,60.0%,0,2,8,113.0,0.0%,0.0,0.0,0.0,0.0,50.0%,0,1,7,93.0,0.0%,0,0,0,0.0,2012
82,A596,60.0%,1,1,3,129.0,100.0%,0,0,1,111.0,80.0%,3,4,8,110.0,55.0%,0.0,1.0,19.0,101.0,0.0%,0,0,1,89.0,100.0%,0,0,1,104.0,2012
83,AG37,76.0%,1,11,13,124.0,60.0%,0,1,4,124.0,96.7%,5,10,15,115.0,66.7%,0.0,1.0,5.0,97.0,35.7%,0,2,12,95.0,100.0%,0,0,2,108.0,2012
84,B837,57.1%,1,1,5,124.0,0.0%,0,0,0,0.0,83.3%,1,2,3,114.0,50.0%,0.0,1.0,7.0,100.0,50.0%,0,0,4,95.0,50.0%,0,1,1,100.0,2012
85,be67,0.0%,0,0,2,90.0,75.0%,0,1,3,96.0,100.0%,0,1,1,87.0,66.7%,0.0,2.0,4.0,94.0,50.0%,0,1,1,85.0,50.0%,0,0,2,82.0,2012
86,BD06,77.4%,5,10,16,126.0,58.3%,0,3,9,118.0,70.0%,4,5,11,116.0,17.6%,0.0,1.0,16.0,88.0,39.3%,0,1,27,95.0,50.0%,0,0,2,107.0,2012
87,bh09,77.8%,0,1,8,106.0,66.7%,0,1,5,104.0,66.7%,0,1,2,108.0,37.5%,0.0,2.0,6.0,94.0,0.0%,0,0,1,99.0,0.0%,0,0,1,111.0,2012
88,bd20,66.7%,0,1,2,127.0,0.0%,0,0,0,0.0,72.7%,1,7,14,117.0,57.1%,0.0,0.0,7.0,94.0,37.5%,0,0,8,88.0,0.0%,0,0,2,99.0,2012
89,b747,61.5%,5,5,16,124.0,50.0%,0,0,4,114.0,75.0%,8,7,21,111.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,2,13,100.0,50.0%,0,2,4,101.0,2012
90,BE90,42.9%,0,1,6,119.0,75.0%,0,2,6,113.0,50.0%,0,2,6,110.0,0.0%,0.0,0.0,0.0,0.0,50.0%,0,1,5,95.0,100.0%,0,1,0,98.0,2012
91,BA47,78.6%,2,5,7,120.0,0.0%,0,0,1,111.0,60.0%,0,4,16,108.0,83.3%,0.0,3.0,3.0,105.0,50.0%,0,1,3,93.0,100.0%,0,1,0,99.0,2012
92,BK40,61.1%,2,3,13,120.0,0.0%,0,0,0,0.0,61.5%,2,4,7,117.0,45.5%,0.0,1.0,10.0,107.0,0.0%,0,0,1,90.0,0.0%,0,0,1,107.0,2012
93,b676,66.7%,0,2,7,117.0,100.0%,0,1,0,112.0,83.3%,0,5,1,100.0,100.0%,0.0,2.0,1.0,92.0,25.0%,0,0,4,95.0,100.0%,0,1,1,93.0,2012
94,CD85,57.1%,1,1,5,118.0,0.0%,0,0,1,118.0,37.5%,0,1,7,113.0,33.3%,0.0,0.0,6.0,88.0,0.0%,0,0,4,100.0,100.0%,0,0,2,105.0,2012
95,CE25,71.4%,0,1,6,124.0,33.3%,0,0,6,113.0,0.0%,0,0,3,115.0,53.8%,0.0,0.0,13.0,94.0,25.0%,0,1,7,93.0,50.0%,0,0,2,96.0,2012
96,cf01,75.0%,4,9,7,131.0,0.0%,0,0,1,122.0,82.6%,10,3,10,122.0,72.7%,0.0,2.0,9.0,95.0,14.3%,0,0,7,107.0,100.0%,0,0,1,112.0,2012
97,CA12,100.0%,0,0,2,118.0,80.0%,0,4,1,122.0,85.7%,3,2,2,124.0,63.6%,0.0,2.0,9.0,88.0,50.0%,0,1,3,97.0,0.0%,0,0,1,103.0,2012
98,c977,59.3%,0,2,25,107.0,41.7%,0,3,9,110.0,73.3%,0,3,12,112.0,40.0%,0.0,1.0,4.0,81.0,66.7%,0,1,8,96.0,0.0%,0,0,0,0.0,2012
99,CG80,73.3%,10,14,21,130.0,60.0%,0,0,5,110.0,54.8%,1,6,35,108.0,50.0%,0.0,1.0,9.0,87.0,61.5%,0,2,11,90.0,60.0%,0,2,3,96.0,2012
100,da81,58.3%,0,0,12,115.0,66.7%,0,2,4,113.0,80.0%,2,4,9,110.0,66.7%,0.0,0.0,6.0,93.0,40.0%,0,0,10,91.0,100.0%,0,1,1,97.0,2012
101,DH50,78.3%,5,8,10,133.0,0.0%,0,0,0,0.0,70.8%,6,8,10,119.0,,,,,,46.2%,0,0,13,101.0,66.7%,0,1,2,103.0,2012
