,Year,Hard,Clay,Carpet,Grass,draw_size,winner_hand,winner_ht,winner_age,loser_hand,loser_ht,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
70,2006,0.0,1.0,0.0,0.0,128,0.0,185.0,19.9,0.0,188.0,19.0,5,114.0,3.0,0.0,59.0,47.0,30.0,7.0,10.0,3.0,6.0,2.0,3.0,67.0,49.0,27.0,4.0,10.0,2.0,7.0,2.0,4545.0,63.0,627.0
71,2006,0.0,0.0,1.0,0.0,128,1.0,188.0,19.0,0.0,178.0,29.8,5,124.0,8.0,4.0,98.0,59.0,46.0,19.0,15.0,4.0,6.0,1.0,5.0,87.0,43.0,31.0,21.0,14.0,3.0,8.0,39.0,841.0,65.0,611.0
72,2006,0.0,0.0,1.0,0.0,128,1.0,188.0,19.0,0.0,180.0,24.1,5,133.0,2.0,3.0,94.0,63.0,46.0,15.0,15.0,2.0,5.0,1.0,3.0,107.0,74.0,45.0,12.0,15.0,9.0,15.0,39.0,841.0,8.0,1920.0
73,2006,0.0,0.0,1.0,0.0,128,1.0,188.0,19.0,0.0,183.0,24.0,5,156.0,7.0,3.0,111.0,71.0,56.0,22.0,18.0,4.0,5.0,6.0,2.0,98.0,63.0,41.0,20.0,18.0,1.0,6.0,39.0,841.0,41.0,830.0
74,2006,0.0,0.0,1.0,0.0,128,1.0,196.0,22.2,0.0,188.0,19.0,5,204.0,31.0,6.0,138.0,81.0,69.0,32.0,26.0,1.0,3.0,11.0,5.0,132.0,86.0,70.0,25.0,25.0,5.0,8.0,10.0,1885.0,39.0,841.0
75,2006,0.0,0.0,0.0,1.0,128,1.0,188.0,19.2,1.0,183.0,17.0,5,101.0,8.0,4.0,102.0,70.0,51.0,18.0,16.0,7.0,8.0,4.0,8.0,87.0,44.0,24.0,20.0,16.0,2.0,9.0,23.0,1183.0,577.0,40.0
76,2006,0.0,0.0,0.0,1.0,128,1.0,188.0,19.2,0.0,188.0,24.7,5,191.0,9.0,8.0,148.0,92.0,71.0,33.0,21.0,9.0,10.0,21.0,4.0,144.0,72.0,59.0,45.0,22.0,6.0,7.0,23.0,1183.0,60.0,651.0
77,2006,0.0,0.0,0.0,1.0,128,1.0,180.0,25.5,0.0,188.0,19.2,5,89.0,10.0,3.0,71.0,37.0,29.0,23.0,12.0,5.0,5.0,3.0,7.0,83.0,56.0,32.0,10.0,12.0,5.0,11.0,17.0,1515.0,23.0,1183.0
78,2006,0.0,0.0,0.0,1.0,128,1.0,178.0,29.4,0.0,188.0,18.6,5,148.0,2.0,7.0,116.0,72.0,51.0,20.0,16.0,10.0,13.0,6.0,9.0,114.0,71.0,44.0,18.0,16.0,13.0,19.0,68.0,567.0,76.0,502.0
85,2007,0.0,0.0,0.0,1.0,48,1.0,188.0,20.3,1.0,188.0,23.9,3,154.0,6.0,4.0,112.0,61.0,47.0,28.0,15.0,10.0,10.0,2.0,4.0,90.0,67.0,49.0,9.0,15.0,2.0,5.0,3.0,4370.0,32.0,905.0
86,2007,0.0,0.0,0.0,1.0,48,1.0,188.0,20.3,0.0,183.0,27.6,3,133.0,4.0,2.0,82.0,49.0,36.0,18.0,14.0,2.0,4.0,8.0,2.0,88.0,50.0,34.0,21.0,13.0,8.0,10.0,3.0,4370.0,23.0,1285.0
