,OpponentId,winner_rank,Unnamed: 0,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
32,MM58,7.0,5,50.0%,0,1,7,119.0,0.0%,0,0,0,0.0,57.1%,3,1,10,126.0,66.7%,0.0,0.0,3.0,112.0,66.7%,0,1,5,80.0,66.7%,0,1,5,80.0,66.7%,2,2,11,126.0,0.0%,0,0,0,0.0,53.8%,2,2,9,116.0,20.0%,0.0,0.0,5.0,93.0,20.0%,0,0,5,101.0,20.0%,0,0,5,101.0,2021
33,MM58,7.0,21,68.0%,2,4,19,122.0,33.3%,0,0,3,114.0,50.0%,5,2,11,127.0,60.0%,0.0,1.0,4.0,118.0,66.7%,0,1,8,98.0,63.6%,0,1,10,94.0,73.7%,4,6,9,128.0,0.0%,0,0,2,110.0,80.6%,4,10,17,119.0,60.0%,0.0,0.0,5.0,118.0,50.0%,0,0,8,103.0,85.7%,1,4,9,109.0,2020
34,MM58,7.0,39,76.9%,5,4,17,124.0,100.0%,0,1,0,129.0,100.0%,0,1,0,129.0,50.0%,0.0,0.0,2.0,111.0,50.0%,0,1,7,88.0,53.3%,1,3,11,98.0,89.5%,5,3,11,126.0,0.0%,0,0,2,122.0,0.0%,0,0,2,122.0,64.7%,2.0,1.0,14.0,96.0,55.6%,0,2,7,94.0,70.0%,1,2,7,107.0,2019
35,N289,40.0,147,40.0%,0,1,4,81.0,33.3%,0,1,5,81.0,100.0%,0,0,1,83.0,40.0%,0.0,1.0,4.0,81.0,33.3%,0,1,5,81.0,100.0%,0,0,1,83.0,14.3%,0,0,7,83.0,25.0%,0,0,4,81.0,0.0%,0,0,1,73.0,14.3%,0.0,0.0,7.0,83.0,25.0%,0,0,4,81.0,0.0%,0,0,1,73.0,2013
36,N552,21.5,86,57.1%,3,7,25,116.0,55.0%,0,5,15,111.0,60.5%,3,8,32,102.0,56.0%,0.0,1.0,24.0,84.0,46.7%,0,2,13,86.0,46.7%,0,2,13,86.0,72.4%,4,7,18,111.0,52.0%,0,5,20,110.0,50.0%,1,3,22,112.0,53.8%,0.0,2.0,11.0,90.0,47.1%,0,3,14,84.0,47.1%,0,3,14,84.0,2016
37,N552,21.5,106,56.2%,2,3,11,117.0,20.0%,0,1,4,94.0,46.7%,1,4,10,106.0,56.2%,0.0,5.0,11.0,89.0,90.0%,0,4,6,91.0,50.0%,0,0,2,95.0,58.8%,1,1,15,116.0,100.0%,0,2,0,119.0,57.9%,4,3,12,115.0,50.0%,0.0,1.0,3.0,94.0,45.5%,0,1,10,93.0,42.9%,0,0,7,85.0,2015
38,N552,21.5,125,50.0%,3,2,11,111.0,75.0%,0,1,3,110.0,75.0%,0,1,3,110.0,7.7%,0.0,0.0,13.0,91.0,40.0%,0,0,5,95.0,0.0%,0,0,1,88.0,71.4%,0,4,10,106.0,80.0%,0,2,8,105.0,80.0%,0,2,8,105.0,33.3%,0.0,0.0,3.0,99.0,33.3%,0,1,5,90.0,14.3%,0,0,7,89.0,2014
39,PD31,47.0,107,83.3%,1,0,5,125.0,100.0%,0,1,1,123.0,25.0%,1,0,7,110.0,41.2%,0.0,0.0,17.0,94.0,25.0%,0,0,4,93.0,50.0%,0,1,3,100.0,66.7%,1,1,7,123.0,50.0%,0,0,2,120.0,50.0%,1,2,7,122.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,1,4,88.0,38.5%,0,1,12,90.0,2015
40,Q927,32.0,43,50.0%,1,1,2,132.0,100.0%,0,0,1,135.0,100.0%,0,0,1,135.0,25.0%,0.0,0.0,4.0,109.0,0.0%,0,0,3,103.0,50.0%,0,0,8,94.0,71.4%,1,1,5,135.0,100.0%,0,1,0,122.0,100.0%,0,1,0,122.0,42.9%,0.0,1.0,6.0,105.0,66.7%,0,1,2,107.0,100.0%,0,1,3,110.0,2019
41,Q927,32.0,148,50.0%,0,1,9,87.0,0.0%,0,0,1,88.0,33.3%,0,0,3,100.0,50.0%,0.0,1.0,9.0,87.0,0.0%,0,0,1,88.0,33.3%,0,0,3,100.0,25.0%,0,0,4,100.0,50.0%,0,0,6,88.0,55.6%,0,0,9,87.0,25.0%,0.0,0.0,4.0,100.0,50.0%,0,0,6,88.0,55.6%,0,0,9,87.0,2013
